CATEGORY-TYPE,CATEGORY,CATEGORY_DEFINITIONS,Dr. Rasu Explantion,CATEGORY_ID,QUESTIONS
"Dry weight, yield and yield components",Tops weight at maturity (kg [dm]/ha),"the above-ground biomass (except roots) in dry weight, in kilograms of dry matter per hectare. Monitoring this metric helps farmers assess their crops' growth and health, providing insights into biomass production and potential yield.","This is above ground biomass (except roots) in dry weight. If farmer is intersted in biomass production (e.g., biofuel crops), then he might ask what is my above-ground biomass production per unit area?",tops_weight_at_maturity,What would be my above-ground biomass production per unit area?
"Dry weight, yield and yield components",Yield at harvest maturity (kg [dm]/ha),"the total weight of a crop harvested per hectare, in kilograms of dry matter. It represents the portion of the crop that remains after all water content has been removed, providing a consistent basis for comparing yields across different conditions.",Farmer often ask this question. What is my crop yield at maturity?,yield_at_harvest_maturity,What would be my crop yield at maturity?
"Dry weight, yield and yield components",Harvested yield (kg [dm]/ha),"the total weight of a crop harvested per hectare, in kilograms of dry matter (dm). It represents the portion of the crop that remains after all water content has been removed, providing a consistent basis for comparing yields across different conditions.",If farmer harvest very late after maturity or due to harvesting losses harvest yield may differ from yield at maturity. So farmer might give you a harvest date and ask what would be my yield on this date of harvest.,harvested_yield_kg_dm,How much yield would I be able to harvest by a certain harvest date?
"Dry weight, yield and yield components",Harvest index at maturity,"the ratio between the harvest's dry weight and the crop biomass's total dry weight (including the harvest). It is the proportion of the above-ground biomass (in the case of cereals) that is found in the grain, i.e., a harvest index of 33 percent, results in a ratio of 2 kg straw:1 kg grain (FAO, 2022)",Some farmers may ask what is my harvest index. It is the ratio between dry weight of the harvest and total dry weight of the crop biomass (including the harvest),harvest_index_at_maturity,What would be my harvest index by the time the crop matures?
Water,Irrigation applications (no),"the total number of irrigation events applied to a crop during its growing season. It includes all instances where water is supplied to the crop, whether through manual scheduling based on field records or automated systems that trigger irrigation based on specific criteria such as soil moisture levels or evapotranspiration rates.",How many time I should apply irrigation? When I should apply irrigation? How much I should apply?,number_of_irrigation_applications,What should be the optimum amount of irrigation applications?
Water,Season applied irrigation (includes losses) (mm),"the total volume of water used in a crop field through irrigation over an entire growing season, measured in millimeters. This measurement encompasses all irrigation events and accounts for water losses during application, such as evaporation, runoff, or deep percolation.",What was my seasonal total irrigation requirement?,season_applied_irrigation_includes,What would be my total irrigation requirement by the end of the season?
Water,"Total season precipitation (mm), simulation - harvest","the cumulative amount of rainfall, measured in millimeters, that a crop receives from the start of the simulation period until the harvest date. This metric is crucial for understanding the water availability during the crop's growth cycle, significantly influencing crop development and yield outcomes.",What was the total precipitation during the growing season?,total_season_precipitation_upto_harvest,What would be the total precipitation amount during the growing season?
Water,"Total season evapotranspiration, simulation-harvest (mm)","the cumulative amount of water, measured in millimeters, that is transferred from the soil and crop surfaces to the atmosphere through the combined processes of evaporation and transpiration during the entire growing season from the start of the simulation until harvest.",What was the total evapotraspiration during the growing season?,total_season_evapotranspiration_upto_harvest,What would be the total evapotranspiration amount during the growing season?
Water,Season surface runoff (mm),"the total amount of water, measured in millimeters, that flows over the soil surface and exits the field during a crop's growing season. This runoff occurs when rainfall or irrigation exceeds the soil's infiltration capacity, leading to excess water moving across the land.",What was the surface runoff during the growing season? - if someone interested on improving drainage on their farm etc….,seasonal_surface_runoff,What will be the amount of water surface runoff by the end of the season?
Water,Season water drainage (mm),"the total amount of water, measured in millimeters, that moves downward through the soil profile beyond the root zone during a crop's growing season. This drainage occurs when rainfall or irrigation exceeds the soil's water-holding capacity, leading to percolation of excess water and even waterlogging.",What was the drainage during the growing season? - if someone interested on improving drainage on their farm etc….,seasonal_water_drainage,What will be the amount of water drained during the growing season?
Water,Extractable water at maturity (mm),"the amount of soil water available for plant uptake at the time of crop maturity, measured in millimeters. This metric indicates the remaining usable water in the soil profile when the crop reaches its final growth stage.",This is amount of water available in the soil profile for crop use at the time of crop maturity. Some of them may be intetrsted to know to unserstand drought conditions etc….,extractable_water_at_maturity,What would be the amount of water available in the soil profile for crop use at the time of crop maturity?
Nitrogen,N applications (no),"the total number of nitrogen fertilizer applications made to a crop during its growing season. This count includes all instances where nitrogen is supplied to the crop, regardless of the method or form of application.",How many times and when I should apply N fertilizer,number_of_nitrogen_applications,How many times would I need to apply nitrogen-fertilizer by the end of the cropping season?
Nitrogen,Inorganic N applied (kg [N]/ha),"the total amount of inorganic nitrogen fertilizer applied to a crop field during a growing season, measured in kilograms of nitrogen per hectare. Inorganic nitrogen fertilizers include compounds such as urea, ammonium nitrate, and ammonium sulfate, which provide readily available nitrogen to plants.",What is the amount of N fertilizer required to be applied during the growing season? ,amount_of_inorganic_nitrogen_applied,What would be the required amount of nitrogen-fertilizer to apply during the growing season? 
Nitrogen,N fixed during season (kg/ha),"the amount of atmospheric nitrogen that leguminous crops, such as soybeans or alfalfa, convert into a usable form through biological nitrogen fixation during a single growing season. This process allows these crops to meet a significant portion of their nitrogen requirements without relying solely on soil nitrogen or external fertilizers.",Legume crops such as soybean can fix nitrogen in the soil. So farmers can ask how much N was fixed if they cultiavte soybean/alfalfa so they can cut down that amount during the next season planting,amount_of_nitrogen_fixed_during_season,How much nitrogen would be fixed by the crop by the end of the cropping season?
Nitrogen,N uptake during season (kg [N]/ha),"the total amount of nitrogen absorbed by a crop from the soil throughout its growing season, measured in kilograms of nitrogen per hectare. This metric encompasses all nitrogen sources available to the plant, including soil reserves, applied fertilizers, and atmospheric deposition.",Some farmers want to ask in the amount applied how much was taken by my crop?,amount_of_nitrogen_uptake_during_season,How much nitrogen would my crop absorb by the end of the cropping season?
Nitrogen,N leached during season (kg [N]/ha),"the total amount of nitrogen, measured in kilograms per hectare, that moves beyond the root zone into deeper soil layers or groundwater during a crop's growing season. This leaching typically occurs when rainfall or irrigation exceeds the soil's water-holding capacity, causing soluble nitrogen compounds, such as nitrates, to be carried downward.",If farmer concerns about the environment then he/she might ask how much was lost due to leaching during the season. ,amount_of_nitrogen_leached_during_season,How much nitrogen was lost due to leaching during the cropping season?
Nitrogen,Inorganic N at maturity (kg [N]/ha),"the amount of inorganic nitrogen present in the soil, measured in kilograms per hectare, when the crop reaches full maturity. Inorganic nitrogen includes forms such as nitrate and ammonium. For example, if a farmer needs to understand next season's N application, this information will be helpful to him.",refers to the amount of inorganic nitrogen (nitrate and ammonium) present in the soil at the time of crop maturity. If farmer need to have some understanding for next season N application he might ask ,amount_of_nitrogen_inorganic_at_maturity,How much inorganic nitrogen would remain present in the soil by the time the crop matures?
